Type_simple	Gene1	strand1	orientation1	Gene2	strand2	orientation2	effect
INV	gene1	-1	-1	gene2	1	-1	fusion
INV	gene1	1	-1	gene2	-1	-1	fusion
INV	gene1	-1	-1	gene1	-1	-1	truncated_transcripts
INV	gene1	1	-1	gene2	1	-1	loss_transcription
INV	gene1	1	-1	gene1	1	-1	loss_transcription
INV	gene1	-1	-1	gene2	-1	-1	truncated_transcripts
INV	gene1	1	-1	NA	NA	-1	loss_transcription
INV	gene1	-1	-1	NA	NA	-1	truncated_transcripts
INV	gene1	1	1	NA	NA	1	truncated_transcripts
INV	gene1	-1	1	NA	NA	1	loss_transcription
INV	gene1	-1	1	gene2	1	1	fusion
INV	gene1	-1	1	gene1	-1	1	loss_transcription
INV	gene1	1	1	gene2	-1	1	fusion
INV	gene1	-1	1	gene2	-1	1	loss_transcription
INV	gene1	1	1	gene1	1	1	truncated_transcripts
INV	gene1	1	1	gene2	1	1	truncated_transcripts
INV	NA	NA	-1	gene2	-1	-1	truncated_transcripts
INV	NA	NA	-1	gene2	1	-1	loss_transcription
INV	NA	NA	1	gene2	1	1	truncated_transcripts
INV	NA	NA	1	gene2	-1	1	loss_transcription
DEL	gene1	-1	NA	gene1	-1	NA	simple_deletion
DEL	gene1	-1	NA	gene2	-1	NA	fusion
DEL	gene1	-1	NA	gene2	1	NA	loss_transcription
DEL	gene1	-1	NA	NA	NA	NA	loss_transcription
DEL	gene1	1	NA	gene2	-1	NA	truncated_transcripts
DEL	gene1	1	NA	gene1	1	NA	simple_deletion
DEL	gene1	1	NA	gene2	1	NA	fusion
DEL	gene1	1	NA	NA	NA	NA	truncated_transcripts
DEL	NA	NA	NA	gene2	-1	NA	truncated_transcripts
DEL	NA	NA	NA	gene2	1	NA	loss_transcription
DUP	gene1	-1	NA	gene2	-1	NA	fusion
DUP	gene1	-1	NA	gene1	-1	NA	simple_duplication
DUP	gene1	-1	NA	gene2	1	NA	truncated_transcripts
DUP	gene1	-1	NA	NA	NA	NA	truncated_transcripts
DUP	gene1	1	NA	gene2	-1	NA	no_impact
DUP	gene1	1	NA	gene2	1	NA	fusion
DUP	gene1	1	NA	gene1	1	NA	simple_duplication
DUP	gene1	1	NA	NA	NA	NA	no_impact
DUP	NA	NA	NA	gene2	-1	NA	no_impact
DUP	NA	NA	NA	gene2	1	NA	truncated_transcripts
